_id,Date,UK/Royaume-Uni,Germany/Allemagne,France,Japan/Japon,Canada,USA/États-Unis d'Amérique,Tax Status,Situation fiscale
226,2018-04-01T00:00:00,76.5,78.9,85.4,90.5,95,77,Base,Base
227,2018-04-01T00:00:00,140.1,136.5,146.7,79.3,40.1,15.7,Tax,Taxe
228,2018-04-01T00:00:00,216.6,215.4,232.1,169.9,135.1,92.7,Total,Totale
229,2018-05-01T00:00:00,80.3,85.7,89,94.3,98.3,82.7,Base,Base
230,2018-05-01T00:00:00,136.6,134.7,143.6,78.9,40.4,15.8,Tax,Taxe
231,2018-05-01T00:00:00,216.9,220.4,232.6,173.2,138.7,98.6,Total,Totale
232,2018-06-01T00:00:00,84.9,88.1,92.5,101.1,95.2,84.9,Base,Base
233,2018-06-01T00:00:00,138.1,137,146.6,80.8,40.3,16.3,Tax,Taxe
234,2018-06-01T00:00:00,223.1,225,239.1,181.9,135.5,101.2,Total,Totale
235,2018-07-01T00:00:00,83.1,87.6,89.9,99.5,96.6,82.7,Base,Base
236,2018-07-01T00:00:00,136.9,136.3,145.1,79.7,40.2,16.1,Tax,Taxe
237,2018-07-01T00:00:00,220,223.8,235,179.2,136.8,98.9,Total,Totale
238,2018-08-01T00:00:00,82.7,88.8,89.9,99.1,94.1,81.7,Base,Base
239,2018-08-01T00:00:00,133.3,134.5,143.1,79.4,40,16,Tax,Taxe
240,2018-08-01T00:00:00,216,223.3,233,178.6,134.1,97.7,Total,Totale
241,2018-09-01T00:00:00,86.2,93.6,91.9,99.8,93.4,81.5,Base,Base
242,2018-09-01T00:00:00,135.7,136.1,144.5,78.9,40,16.2,Tax,Taxe
243,2018-09-01T00:00:00,221.9,229.8,236.4,178.6,133.4,97.7,Total,Totale
244,2018-10-01T00:00:00,85.9,93.5,90.6,104,89.6,82.2,Base,Base
245,2018-10-01T00:00:00,135,134.1,142,78.5,39.9,16.1,Tax,Taxe
246,2018-10-01T00:00:00,220.9,227.5,232.6,182.5,129.5,98.3,Total,Totale
247,2018-11-01T00:00:00,83.1,95.9,81.4,102.8,77.2,76,Base,Base
248,2018-11-01T00:00:00,135.3,135.3,140.7,79.4,39.2,16.4,Tax,Taxe
249,2018-11-01T00:00:00,218.4,231.2,222.1,182.3,116.4,92.4,Total,Totale
250,2018-12-01T00:00:00,74.1,83.6,76.2,97.3,70.4,67.4,Base,Base
251,2018-12-01T00:00:00,133.4,135.1,142.1,80.9,38.9,16.7,Tax,Taxe
252,2018-12-01T00:00:00,207.4,218.7,218.3,178.3,109.3,84,Total,Totale
253,2019-01-01T00:00:00,71.5,72,75.2,92.5,68,62.6,Base,Base
254,2019-01-01T00:00:00,133.7,131.9,141,81.9,38.9,16.5,Tax,Taxe
255,2019-01-01T00:00:00,205.1,203.9,216.2,174.4,106.9,79.1,Total,Totale
256,2019-02-01T00:00:00,71,70.1,76.6,91.1,70.8,64.2,Base,Base
257,2019-02-01T00:00:00,133.7,130,139.4,80.4,38.9,16.4,Tax,Taxe
258,2019-02-01T00:00:00,204.7,200.1,216,171.5,109.7,80.5,Total,Totale
259,2019-03-01T00:00:00,74.5,73.7,82,93.5,82.2,72.4,Base,Base
260,2019-03-01T00:00:00,137.1,131.7,141.8,81,39.5,16.6,Tax,Taxe
261,2019-03-01T00:00:00,211.6,205.4,223.7,174.5,121.7,88.9,Total,Totale
262,2019-04-01T00:00:00,79.5,85.6,91.4,95.3,93.3,82.3,Base,Base
263,2019-04-01T00:00:00,137.3,133.5,143,80.9,40.1,16.6,Tax,Taxe
264,2019-04-01T00:00:00,216.8,219.2,234.4,176.2,133.4,98.9,Total,Totale
265,2019-05-01T00:00:00,84.7,94.1,94.8,100.8,93.6,85,Base,Base
266,2019-05-01T00:00:00,137.3,135.3,143.8,82.8,40.1,16.7,Tax,Taxe
267,2019-05-01T00:00:00,222,229.4,238.6,183.7,133.7,101.7,Total,Totale
268,2019-06-01T00:00:00,82.3,90.9,88.5,98.7,82.5,78.9,Base,Base
269,2019-06-01T00:00:00,133.7,134.4,142.2,83.2,39.5,16.5,Tax,Taxe
270,2019-06-01T00:00:00,216,225.3,230.7,181.9,122,95.4,Total,Totale
271,2019-07-01T00:00:00,76.9,83.9,83.8,94.8,87.2,78.9,Base,Base
272,2019-07-01T00:00:00,126.6,130.2,138.2,81.7,39.7,16.3,Tax,Taxe
273,2019-07-01T00:00:00,203.6,214.1,222,176.5,126.9,95.2,Total,Totale
274,2019-08-01T00:00:00,79.1,80.3,82.8,96.5,81.1,75.4,Base,Base
